client_name,group,location,specialist,assets
A A Carrots,Midland,Aberdeen ,,
 A & A Elphinstone,Midland,,,
 A & B Buchan Limited,Midland,,,
 Aberclean Plant & Sweeper Hire Ltd,Midland,,,
 Admiral Flooring Services Limited,Midland,,,
 Affinity Financial Planning Ltd,Midland,,,
 Airtel Africa PLC,Midland,,,
 Alan Whiteford Contracts Ltd,Midland,,,
 Ally Crawford Electrical Services Ltd,Midland,,,
 Alston Gayler & Co Limited,Midland,,,
 Altitude Global Iimited,Midland,,,
 Angel Solutions Ltd,Midland,,,
 Apple Vending & Catering Services (Tela),Midland,,,
 Aquila Heating & Plumbing,Midland,,,
 A&R Finnie,Midland,,,
 ASCO UK Ltd,Midland,,,
 Ashwood Scotland,Midland,,,
 Auto Centre Inverurie Limited,Midland,,,
 Automotive Consulting Engineers Ltd,Midland,,,
 A & V Cheyne t/a A & V Renewables Ltd,Midland,,,
 Avoncrop Amenity Products Limited,Midland,,,
 Avonmouth Engineering Services Ltd,Midland,,,
 Axle Haulage,Midland,,,
 Balgownie Ltd,Midland,,,
 Balmaud Distillery,Midland,,,
 Bancon Homes,Midland,,,
 BCHA,Midland,,,
 Benzies Produce Ltd,Midland,,,
 BHARTI GLOBAL LIMITED,Midland,,,
 Birmingham Moseley Rugby Club,Midland,,,
 Blippar.com,Midland,,,
 Bourton Group Limited,Midland,,,
 Braeside Business Developments Ltd,Midland,,,
 Bridgend Aggregates Ltd,Midland,,,
 Bridgwater Pallets LTD,Midland,,,
 Bristol Uniforms Limited,Midland,,,
 British Refugee Council,Midland,,,
 Brucklay Garage,Midland,,,
 BSA - The Business Services Association,Midland,,,
 Bulk Vending Systems Ltd,Midland,,,
 Burmatex Limited,Midland,,,
 BURROWS HOME COMFORT LIMITED,Midland,,,
 Busy Bees Nurseries Limited,Midland,,,
 BVCA,Midland,,,
 Caledonia Asset Finance Ltd,Midland,,,
 Cameron Forecourt Limited,Midland,,,
 Cameron Mackintosh Ltd,Midland,,,
 CAS Duncan,Midland,,,
 Castlewood Leisure & Holiday Park,Midland,,,
 Catalyst Commercial Services Limited,Midland,,,
 Catchall,Midland,,,
 Celtic Vacuum Ltd,Midland,,,
 Certified Pro Installs Ltd,Midland,,,
 Ceva Freight (UK) Ltd,Midland,,,
 Champions (UK) plc,Midland,,,
 Chapman Electrical Limited,Midland,,,
 Chargepoint,Midland,,,
 Charles W Pirie,Midland,,,
 Chequers Contract Services Ltd,Midland,,,
 City Vending Services Ltd,Midland,,,
 C.K.Batchelor Limited,Midland,,,
 Cleaning and Catering Recruitment (Consultant SG G,Midland,,,
 Cloud Platform Ltd,Midland,,,
 Coeus Insurance,Midland,,,
 Computasys Limited,Midland,,,
 Concept Generators Limited,Midland,,,
 Connect NDT Limited,Midland,,,
 Constantine Limited,Midland,,,
 CPC Project Services LLP,Midland,,,
 CPFP Limited,Midland,,,
 Craigiewell Partners,Midland,,,
 Crane Solutions Scotland,Midland,,,
 CT Scott,Midland,,,
